id,mode,mode_description,scr30_percent,sample,scr36,scrambled_sec2,session,duration_main,failed_attention,scr30,scr36_percent,rate_answers,rate_correct,rate_wrong,mean_confidence,mean_confidence_right,mean_confidence_wrong,n_confident_wrong,n_confident_right,n_unconfident_wrong,n_unconfident_right,mean_ibr,precision,recall,npv,specificity,f1,age,isMale,isGrad,isUS,us_months,isEnglish,isDataOriented,char_display,icons,mode_paper
1030,4,4 - Partial Disclosure,83.33333333333333,4,31,FALSE,6,5.366133333333333,0,25,86.11111111111111,5.590617701138002,4.658848084281668,0.9317696168563336,1.9166666666666667,2,1.4,0,12,3,12,0.1550925925925926,0.7727272727272726,1,1,0.7368421052631579,0.8717948717948718,21,0,0,1,204,0,0,180,1096,Low
235,3,3 - Selective Disclosure,100,7,36,TRUE,1,15.824483333333333,0,30,100,1.8957964925658448,1.8957964925658448,0,2.7777777777777777,2.7777777777777777,NaN,0,30,0,2,0.2839506172839506,1,1,1,1,1,21,0,0,1,261,1,0,679,589,Moderate
44,2,2 - Full Disclosure with intervention,83.33333333333333,1,31,FALSE,6,18.891566666666666,0,25,86.11111111111111,1.588010170322913,1.3233418086024276,0.2646683617204855,2.861111111111111,2.903225806451613,2.6,4,29,1,1,0.2631172839506173,0.7727272727272726,1,1,0.7368421052631579,0.8717948717948718,28,1,1,0,1,0,1,2314,0,Full
100,4,4 - Partial Disclosure,83.33333333333333,10,31,FALSE,4,16.5664,0,25,86.11111111111111,1.8108943403515547,1.509078616959629,0.3018157233919258,2.5833333333333335,2.7096774193548385,1.8,0,22,1,0,0.22608024691358025,0.7999999999999999,0.9411764705882353,0.9375,0.7894736842105263,0.8648648648648647,20,0,0,0,108,0,0,188,1102,Low
34,2,2 - Full Disclosure with intervention,83.33333333333333,5,31,FALSE,5,5.80145,0,25,86.11111111111111,5.171121012850236,4.30926751070853,0.861853502141706,1.8888888888888888,1.967741935483871,1.4,0,10,3,11,0.2777777777777778,0.7999999999999999,0.9411764705882353,0.9375,0.7894736842105263,0.8648648648648647,22,1,0,0,272,0,0,2261,0,Full
112,2,2 - Full Disclosure with intervention,80,2,30,FALSE,5,4.201216666666666,0,24,83.33333333333333,7.140788581085638,5.712630864868511,1.4281577162171277,2.1944444444444446,2.2333333333333334,2,0,8,0,1,0.26157407407407407,0.7619047619047619,0.9411764705882353,0.9333333333333333,0.7368421052631579,0.8421052631578947,21,1,0,1,260,1,0,2253,0,Full
1050,4,4 - Partial Disclosure,83.33333333333333,8,31,FALSE,6,30.595633333333332,0,25,86.11111111111111,0.9805320802859668,0.8171100669049723,0.16342201338099446,2.4166666666666665,2.4516129032258065,2.2,3,18,2,4,0.19212962962962962,0.7727272727272726,1,1,0.7368421052631579,0.8717948717948718,31,0,0,0,3,0,0,173,1139,Low
1010,5,5 - Minimum Disclosure,76.66666666666667,1,29,TRUE,2,5.925833333333333,0,23,80.55555555555556,5.062579102798481,3.8813106454788358,1.1812684573196457,2.1666666666666665,2.2413793103448274,1.8571428571428572,1,11,2,4,0.21759259259259262,0.8124999999999999,0.7647058823529411,0.7999999999999999,0.8421052631578947,0.7878787878787877,43,0,1,0,79,0,0,0,1228,Masked
152,5,5 - Minimum Disclosure,80,5,30,TRUE,2,15.672783333333333,0,24,83.33333333333333,1.914146285439621,1.5313170283516968,0.3828292570879242,1.8055555555555556,1.8,1.8333333333333333,0,4,1,10,0.2569444444444445,0.8235294117647058,0.8235294117647058,0.8421052631578947,0.8421052631578947,0.8235294117647058,31,1,1,0,47,0,0,0,1243,Masked
85,4,4 - Partial Disclosure,76.66666666666667,1,29,FALSE,4,9.019766666666667,0,23,80.55555555555556,3.3260283895000975,2.5499550986167416,0.7760732908833561,2.111111111111111,2.2413793103448274,1.5714285714285714,0,13,3,6,0.21141975308641975,0.7083333333333333,1,1,0.631578947368421,0.8292682926829268,25,1,1,0,7,0,0,173,1116,Low
